ObsFarm#,FID0,Xf,Yf,Ecology,Xd,Yd,DistName,DistID,Region,REGION,DistKey,District,pH,SOC,Fe_meq100g,Al_meq100g,Clay
146,1721,-1.956,5.255,WE,-2.040812533,5.359265342,Tarkwa,WS6,Western South,WS,TARKWA,Tarkwa,4.32,0.579,0.055,7.99,20.76
147,1255,-1.261,5.805,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,6.06,0.259,0.056,2.64,6.76
148,1576,-3.154,6.596,ME,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.41,0.369,0.056,4.94,22.76
149,1562,-2.793,6.299,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,4.98,0.401,0.056,6.54,28.76
150,1554,-3.047,6.848,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.48,0.226,0.056,5.01,16.76
151,1420,-1.036,5.818,ME,-1.089119806,6.00923039,Oda,ER4,Eastern,ER,ODA,Oda,5.97,0.381,0.057,8.87,30.76
152,1736,-1.629,5.198,MSSE,-1.692781412,5.212855041,Daboase,WS3,Western South,WS,DABOASE,Daboase,5.8,0.226,0.057,4.24,12.76
153,1189,-2.367,7.094,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.36,0.802,0.057,4.43,26.76
154,1389,-0.555,6.003,MSSE,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.21,0.304,0.057,16.61,24.76
155,1130,-3.042,6.986,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.54,0.393,0.057,3.76,10.76
156,1619,-2.576,6.097,ME,-2.629587709,6.059271224,Akontombra,WN2,Western North,WN,AKONTOMBRA,Akontombra,5.48,0.231,0.057,2.11,24.76
157,1208,-0.688,5.657,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.88,0.367,0.057,2.81,12.76
158,1088,-1.143,6.495,MSSE,-1.063797271,6.862212338,Juaso,AR8,Ashanti,AR,JUASO,Juaso,5.65,0.293,0.057,3.25,12.76
159,1144,-2.528,7.424,DSIZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,5.93,0.654,0.057,4.86,22.76
160,1653,-2.949,6.328,ME,-3.035834694,6.206728686,Dadieso,WN4,Western North,WN,DADIESO,Dadieso,6,0.523,0.057,5.37,22.76
161,1009,-2.198,6.856,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.31,0.573,0.057,10.07,22.76
162,1003,-2.184,6.915,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,5.73,0.653,0.057,8.96,28.76
163,1545,0.531,7.894,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,6.67,0.462,0.057,11.11,16.76
164,1191,-2.324,7.075,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,6.02,0.759,0.058,5.15,40.76
165,1395,-0.66,6.12,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.5,0.289,0.058,13.31,38.76
166,1140,-2.699,7.148,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,6.99,0.914,0.058,4.28,18.76
167,1725,-1.896,5.489,WE,-1.798007291,5.43762705,Huni Valley,WS5,Western South,WS,HUNI VALLEY,Huni Valley,4.02,0.421,0.058,8.99,26.76
168,1735,-1.71,5.131,MSSE,-1.692781412,5.212855041,Daboase,WS3,Western South,WS,DABOASE,Daboase,5.47,0.267,0.058,6.67,18.76
169,1558,-3.017,6.571,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.93,0.425,0.058,4.96,20.76
170,1040,-1.397,7.141,DSFZ,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.56,0.36,0.058,6.88,14.76
171,1145,-2.522,7.439,DSIZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,5.92,0.295,0.058,3.12,24.76
172,1058,-2.01,7.309,DSFZ,-1.801585191,7.180496209,Offinso,AR10,Ashanti,AR,OFFINSO,Offinso,5.83,0.456,0.058,9.82,22.76
173,1213,-0.722,5.543,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.48,0.252,0.058,1.9,12.76
174,1732,-1.661,5.166,MSSE,-1.692781412,5.212855041,Daboase,WS3,Western South,WS,DABOASE,Daboase,5.06,0.22,0.058,6.95,16.76
175,1228,-0.852,5.633,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,6.01,0.328,0.058,1.48,12.76
176,1002,-2.196,6.997,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,5.33,0.5,0.058,8.05,22.7
177,1138,-2.703,7.199,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,6.14,0.681,0.058,3.87,18.76
178,1660,-2.621,6.139,ME,-2.629587709,6.059271224,Akontombra,WN2,Western North,WN,AKONTOMBRA,Akontombra,5.08,0.469,0.058,3.46,14.76
179,1137,-2.855,7.45,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,6.72,1.197,0.058,3.63,32.76
180,1325,-0.358,6.102,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.17,0.164,0.058,9.29,24.76
181,1159,-2.484,6.425,MSSE,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.88,0.472,0.058,3.26,14.76
182,1355,-0.381,6.192,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.45,0.356,0.058,6.65,28.76
183,1149,-2.428,6.661,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.54,0.492,0.059,3.39,16.76
184,1404,-0.905,6.146,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.04,0.202,0.059,10.53,30.76
185,1418,-0.643,5.823,DSIZ,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.7,0.533,0.059,10.89,18.76
186,1044,-1.387,6.962,MSSE,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.54,0.315,0.059,3.57,8.76
187,1566,-3.105,6.942,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.9,0.309,0.059,4.96,24.76
188,1293,-0.784,5.482,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,5.71,0.243,0.059,21.27,10.76
189,1226,-0.853,5.618,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.91,0.193,0.059,1.87,12.76
190,1038,-1.48,6.991,DSIZ,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.69,0.332,0.06,2.09,16.76
191,1240,-1.375,5.785,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,5,0.149,0.06,5.73,6.76
192,1641,-3.151,6.866,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.34,0.212,0.06,5.15,16.76
193,1011,-2.106,7.015,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.57,0.765,0.06,7.55,14.76
194,1135,-2.918,7.555,DSIZ,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,5.22,0.397,0.06,2.33,12.76
195,1352,-0.487,6.371,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,4.7,0.381,0.06,10.34,24.76
196,1477,0.451,6.626,MSSE,0.3780277,6.783841947,Hohoe,VR1,Volta,VR,KPEVE/HOHOE,Hohoe,5.56,0.43,0.06,10.24,14.76
197,1244,-1.306,5.694,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,4.99,0.217,0.06,2.26,4.76
198,1151,-2.491,6.488,MSSE,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.61,0.427,0.06,3.54,20.76
199,1356,-0.435,6.174,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.22,0.176,0.06,8.02,14.76
200,1516,0.421,7.536,MSSE,0.3230078,7.477678956,Jasikan,VR2,Volta,VR,JASIKAN,Jasikan,6.65,0.284,0.06,5.51,22.76
201,1665,-3.216,6.645,MSNW,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.07,0.355,0.06,5.23,22.76
202,1577,-3.177,6.604,ME,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.97,0.416,0.061,6.12,16.76
203,1209,-0.659,5.64,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.73,0.339,0.061,1.99,8.76
204,1452,-0.797,6.552,MSSE,-0.665088912,6.619832184,Nkwakwa,ER10,Eastern,ER,NKAWKAW,Nkawkaw,5.09,0.236,0.061,11.88,32.76
205,1070,-1.178,6.432,MSSE,-1.226476613,6.390639229,Fumso,AR3,Ashanti,AR,FUMSO,Fumso/Brofoyedru,6.4,1.054,0.061,7.24,24.76
206,1206,-0.716,5.624,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.88,0.306,0.061,3.12,10.76
207,1672,-2.711,6.095,ME,-2.629587709,6.059271224,Akontombra,WN2,Western North,WN,AKONTOMBRA,Akontombra,5.21,0.917,0.061,2.8,20.76
208,1483,0.438,7.044,MSSE,0.3780277,6.783841947,Hohoe,VR1,Volta,VR,KPEVE/HOHOE,Hohoe,4.3,0.265,0.061,5.99,8.76
209,1143,-2.619,7.403,MSNW,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,5.97,1.206,0.061,5.33,16.76
210,1292,-0.74,5.482,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,5.02,0.139,0.062,20.15,4.76
211,1378,-0.471,5.952,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.56,0.219,0.062,14.51,24.76
212,1010,-2.122,7.008,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.1,0.696,0.062,10.24,26.76
213,1734,-1.719,5.133,MSSE,-1.692781412,5.212855041,Daboase,WS3,Western South,WS,DABOASE,Daboase,5.07,0.121,0.062,8.22,8.76
214,1394,-0.666,6.138,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.37,0.233,0.062,15.96,24.76
215,1574,-2.636,6.129,ME,-2.629587709,6.059271224,Akontombra,WN2,Western North,WN,AKONTOMBRA,Akontombra,5.36,0.962,0.062,2.87,20.76
216,1052,-1.661,6.983,MSSE,-1.801585191,7.180496209,Offinso,AR10,Ashanti,AR,OFFINSO,Offinso,6.18,0.559,0.062,6.13,10.76
217,1048,-1.621,6.925,MSSE,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.19,0.363,0.062,4.69,20.76
218,1598,-2.904,6.507,MSNW,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.45,0.335,0.062,3.01,20.76
219,1218,-0.755,5.531,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,6.7,0.253,0.063,1.98,10.76
220,1451,-0.903,6.618,MSSE,-0.665088912,6.619832184,Nkwakwa,ER10,Eastern,ER,NKAWKAW,Nkawkaw,4.72,0.268,0.063,13.35,32.76
221,1417,-0.625,5.726,DSIZ,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.75,0.079,0.063,7.59,14.76
222,1581,-2.962,6.179,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,5.5,0.392,0.063,4.78,26.76
223,1211,-0.633,5.614,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.53,0.186,0.063,2.01,8.76
224,1335,-0.332,6.126,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,5.96,0.168,0.063,12.17,24.76
225,1731,-1.699,5.481,ME,-1.798007291,5.43762705,Huni Valley,WS5,Western South,WS,HUNI VALLEY,Huni Valley,4.85,0.316,0.063,7.12,14.76
226,1259,-1.422,5.892,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,5,0.305,0.063,3.98,6.76
227,1622,-2.932,6.808,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,5.82,0.336,0.063,3.94,14.76
228,1595,-2.251,6.239,ME,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,3.94,0.329,0.063,8.24,32.76
229,1398,-0.825,6.282,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.09,0.14,0.063,21.07,20.76
230,1502,0.52,7.142,MSSE,0.3780277,6.783841947,Hohoe,VR1,Volta,VR,KPEVE/HOHOE,Hohoe,5.12,0.393,0.063,5.53,18.76
231,1528,0.522,7.855,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,6.08,0.404,0.064,7.36,22.76
232,1196,-2.411,6.801,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,5.53,0.856,0.064,3.84,20.76
233,1291,-1.032,5.531,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,6.11,0.104,0.064,3.88,4.76
234,1638,-2.832,6.343,ME,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.83,0.48,0.064,4.37,26.76
235,1594,-3.016,6.45,ME,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.4,0.334,0.064,4.24,16.76
236,1046,-1.547,7.032,DSIZ,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.75,0.601,0.064,6.83,16.76
237,1579,-2.928,6.257,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,5.24,0.552,0.064,4.57,30.76
238,1671,-2.756,6.257,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,6.01,0.54,0.064,9.86,32.76
239,1437,-0.886,5.819,MSSE,-0.862484798,5.930914035,Bawdua,ER3,Eastern,ER,BAWDUA,Bawdua,5.57,0.146,0.065,10.16,14.76
240,1596,-2.149,6.293,ME,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,4.54,0.251,0.065,5.1,18.76
241,1360,-0.388,6.232,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,5.68,0.183,0.065,6.65,22.76
242,1327,-0.4,6.057,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,5.9,0.13,0.065,9.36,16.76
243,1008,-2.115,6.891,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.43,0.286,0.065,3.52,12.76
244,1261,-1.488,5.509,ME,-1.383082632,5.540127719,Twifo Praso,CR3,Central,CR,TWIFO PRASO,Twifo Praso,4.92,0.254,0.065,4.66,6.76
245,1234,-0.864,5.719,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,4.99,0.254,0.065,2.91,14.76
246,1416,-0.616,5.736,DSIZ,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.71,0.127,0.065,8.8,14.76
247,1505,0.338,6.72,MSSE,0.3780277,6.783841947,Hohoe,VR1,Volta,VR,KPEVE/HOHOE,Hohoe,5.46,0.231,0.065,5.66,12.76
248,1391,-0.622,6.009,MSSE,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,4.97,0.389,0.065,16.52,32.76
249,1287,-1.058,5.583,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,5.9,0.193,0.065,3.59,8.76
250,1522,0.348,7.467,MSSE,0.3230078,7.477678956,Jasikan,VR2,Volta,VR,JASIKAN,Jasikan,5.45,0,0.066,8.29,10.76
251,1001,-2.246,6.993,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,5.06,0.377,0.066,6.23,18.76
252,1541,0.521,7.717,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,6.56,0.329,0.066,6.37,18.76
253,1004,-2.168,6.959,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,5.44,0.576,0.066,12.06,18.76
254,1524,0.522,7.684,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,6.83,0.229,0.066,6.44,14.76
255,1550,-3.159,6.519,ME,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.28,0.214,0.066,4.01,22.76
256,1399,-0.862,6.222,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.08,0.684,0.066,13.74,40.76
257,1299,-1.034,5.444,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,6.08,0.195,0.066,4.02,6.76
258,1246,-1.239,5.579,ME,-1.383082632,5.540127719,Twifo Praso,CR3,Central,CR,TWIFO PRASO,Twifo Praso,5.71,0.179,0.066,3.32,6.76
259,1367,-0.589,6.405,MSSE,-0.631530883,6.364693865,Osino,ER6,Eastern,ER,OSINO,Osino,4.62,0.237,0.066,14.74,26.76
260,1575,-3.19,6.588,ME,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,4.89,0.437,0.066,8.92,22.76
261,1643,-3.085,6.156,ME,-3.035834694,6.206728686,Dadieso,WN4,Western North,WN,DADIESO,Dadieso,5.53,0.488,0.067,4,18.76
262,1190,-2.336,7.112,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.72,0.515,0.067,3.28,24.76
263,1239,-1.533,5.777,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,5.06,0.228,0.067,2.91,12.76
264,1400,-0.815,6.225,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.2,0.193,0.067,17.26,26.76
265,1348,-0.498,6.101,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.4,0.294,0.067,12.24,24.76
266,1401,-0.787,6.159,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,5.52,0.327,0.067,10.53,30.76
267,1032,-1.347,6.816,MSSE,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,4.5,0.599,0.067,8.17,20.76
268,1453,-0.824,6.52,MSSE,-0.665088912,6.619832184,Nkwakwa,ER10,Eastern,ER,NKAWKAW,Nkawkaw,5.16,0.419,0.067,10.89,30.76
269,1557,-3.027,6.652,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.54,0.335,0.067,4.22,22.76
270,1252,-1.183,5.753,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,6.12,0.259,0.067,3.32,6.76
271,1668,-2.912,6.526,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.6,0.312,0.067,4.01,18.76
272,1254,-1.195,5.831,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,6.09,0.319,0.067,2.5,14.76
273,1430,-1.172,6.185,MSSE,-1.089119806,6.00923039,Oda,ER4,Eastern,ER,ODA,Oda,5.4,0.184,0.067,11.33,26.76
274,1372,-0.667,6.311,MSSE,-0.631530883,6.364693865,Osino,ER6,Eastern,ER,OSINO,Osino,4.88,0.295,0.067,20.11,28.76
275,1644,-3.054,6.132,ME,-3.035834694,6.206728686,Dadieso,WN4,Western North,WN,DADIESO,Dadieso,5.62,0.394,0.067,3.34,26.76
276,1536,0.53,8.091,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,5.94,0.611,0.067,5.73,26.76
277,1393,-0.697,6.186,MSSE,-0.783779776,6.186186216,Kade,ER5,Eastern,ER,KADE,Kade,3.85,0.208,0.068,17.9,20.76
278,1296,-0.904,5.513,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,6.26,0.133,0.068,15.7,6.76
279,1086,-1.221,6.579,MSSE,-1.063797271,6.862212338,Juaso,AR8,Ashanti,AR,JUASO,Juaso,5.06,0.795,0.068,6.89,24.76
280,1344,-0.534,6.171,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,5.38,0.334,0.068,12.75,16.76
281,1587,-2.853,6.271,ME,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.9,0.286,0.068,8.99,20.76
282,1147,-2.266,7.39,DSFZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,6.98,0.748,0.068,1.78,24.76
283,1472,0.548,6.776,MSSE,0.3780277,6.783841947,Hohoe,VR1,Volta,VR,KPEVE/HOHOE,Hohoe,6.97,0.363,0.068,5.33,10.76
284,1007,-2.099,6.929,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.38,0.86,0.069,3.42,20.76
285,1303,-0.962,5.406,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,5.93,0.191,0.069,3.01,10.76
286,1675,-3.196,6.802,MSNW,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.59,0.184,0.069,3.25,22.76
287,1533,0.502,7.931,MSSE,0.325682011,7.944587834,Papase,VR3,Volta,VR,PAPASE,Papase,6.37,0.408,0.069,5.77,16.76
288,1609,-2.717,6.361,ME,-2.637524769,6.302919333,Boako,WN7,Western North,WN,BOAKO,Boako,5.74,0.433,0.069,6.66,28.76
289,1268,-1.254,5.672,ME,-1.383082632,5.540127719,Twifo Praso,CR3,Central,CR,TWIFO PRASO,Twifo Praso,5.83,0.227,0.069,3.42,8.76
290,1266,-1.386,5.693,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,5.61,0.077,0.07,1.99,12.76
291,1285,-1.534,5.163,DSIZ,-1.370987564,5.283619732,Jukwa,CR1,Central,CR,JUKWA,Jukwa,4.91,0.224,0.07,5,12.76
292,1608,-2.783,6.449,MSSE,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.53,0.315,0.07,3.9,22.76
293,1290,-0.994,5.555,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,5.09,0.136,0.07,17.24,12.76
