Region,Year,Burn_Area(ha),Tree_CoverExtent(Ha),area__ha,Avg_Tree_CoverGain(Ha),Tree_CoverLoss(Ha),TotalGreenHouse(mg),Tree_CoverLossFire(Ha)
Ashanti,2001,28756.22703596641,1513514.637657256,2490413.489921242,1268.076744090812,5851.122804480096,2100592.7810563697,25.217731803177312
Ashanti,2002,18149.852343863062,1513514.637657256,2490413.489921242,1268.076744090812,15251.958338080352,5537939.428885924,21.01915698152727
Ashanti,2003,17397.065017114517,1513514.637657256,2490413.489921242,1268.076744090812,8137.860448345562,2952650.0084056747,14.2909598966293
Ashanti,2004,21866.77164339162,1513514.637657256,2490413.489921242,1268.076744090812,2014.3713360445545,790815.2831026966,8.179280231377357
Ashanti,2005,20638.04518604728,1513514.637657256,2490413.489921242,1268.076744090812,7549.778006601184,2910320.5605986626,8.713430412844067
Ashanti,2006,16796.40741345516,1513514.637657256,2490413.489921242,1268.076744090812,3887.668513308576,1564622.637049444,6.801498315455137
Ashanti,2007,22208.762886478584,1513514.637657256,2490413.489921242,1268.076744090812,7294.647506611753,2942317.860761652,5.502631373671074
Ashanti,2008,22769.23607375687,1513514.637657256,2490413.489921242,1268.076744090812,6641.41996354528,2763653.462092452,7.1852972455775115
Ashanti,2009,29295.943071986836,1513514.637657256,2490413.489921242,1268.076744090812,7203.966372651051,3252446.485400817,7.643713219555491
Ashanti,2010,19863.66808577477,1513514.637657256,2490413.489921242,1268.076744090812,6155.6854206743465,2533927.2744771694,5.426252627153197
Ashanti,2011,15899.294774814642,1513514.637657256,2490413.489921242,1268.076744090812,12522.116088354083,5997083.963963742,4.51127901491271
Ashanti,2012,32055.968264076862,1513514.637657256,2490413.489921242,1268.0767440908119,5216.738009618026,2558338.643664052,9.552709101949242
Ashanti,2013,20831.035686521376,1513514.637657256,2490413.489921242,1268.076744090812,21252.876240360623,10903232.433511235,25.227871989230884
Ashanti,2014,16322.094904713387,1513514.637657256,2490413.489921242,1268.076744090812,34473.82801670952,18236199.416376434,3.823129948569272
Ashanti,2015,23471.854448887963,1513514.637657256,2490413.489921242,1268.076744090812,11587.520656733856,6384940.875582021,3.134097668085619
Ashanti,2016,21340.54270696013,1513514.637657256,2490413.489921242,1268.076744090812,34971.67247021942,19229533.15739753,2790.147699083051
Ashanti,2017,12811.426610535136,1513514.637657256,2490413.489921242,1268.076744090812,25325.1655978402,14635460.341302032,12.150724960236484
Ashanti,2018,20460.81843829671,1513514.637657256,2490413.489921242,1268.076744090812,25689.31030435065,15119407.56770635,7.337270267258447
Ashanti,2019,13088.18788207569,1513514.637657256,2490413.489921242,1268.076744090812,18987.30449949724,11848835.0364509,2.369454002983329
Ashanti,2020,26397.17700687408,1513514.637657256,2490413.489921242,1268.076744090812,36378.91821553775,23187780.388362765,111.04085906595328
Ashanti,2021,11178.615240460027,1513514.637657256,2490413.489921242,1268.076744090812,29175.638517962238,18959609.989395376,29.976770001778043
Brong Ahafo,2001,66024.82632326357,1138941.7623735117,3948866.8573765513,147.24566254172504,6517.158425859679,2036073.8102368976,8.3147645121127
Brong Ahafo,2002,57203.03600740616,1138941.7623735117,3948866.8573765513,147.24566254172504,3472.8147804473497,1204934.498671641,1.2211549625219684
Brong Ahafo,2003,42715.81461151725,1138941.7623735117,3948866.8573765513,147.24566254172504,1258.3187606770978,392033.70953402366,0.6862199920635568
Brong Ahafo,2004,33858.692931250764,1138941.7623735117,3948866.8573765513,147.24566254172504,787.1451492425786,285994.8644380638,0.458311392280562
Brong Ahafo,2005,64580.62584052076,1138941.7623735117,3948866.857376551,147.24566254172504,3358.3663337614494,1160159.998682988,15.796880346792296
Brong Ahafo,2006,55121.5605233264,1138941.7623735117,3948866.8573765513,147.24566254172504,5243.078443862335,2004973.557624754,2.136700077763572
Brong Ahafo,2007,45553.087625877335,1138941.7623735117,3948866.8573765513,147.24566254172504,2604.05869378624,931761.3795655341,2.826365873954744
Brong Ahafo,2008,56967.33225499177,1138941.7623735117,3948866.8573765513,147.24566254172504,6705.70967578264,2701667.977143528,1.22157124623347
Brong Ahafo,2009,32103.696946479373,1138941.7623735117,3948866.857376551,147.24566254172504,1897.8824981786124,769063.0361548682,1.068597668588329
Brong Ahafo,2010,47764.17891573401,1138941.7623735117,3948866.8573765517,147.24566254172504,1584.4347821737924,633475.0601028745,1.2196069927316473
Brong Ahafo,2011,57791.97757784879,1138941.7623735117,3948866.8573765513,147.24566254172504,4813.214880554448,2108784.0322844745,2.3684409282441248
Brong Ahafo,2012,39161.85553613192,1138941.7623735117,3948866.8573765517,147.24566254172504,4179.573368799216,1910915.1326442352,2.515733012835556
Brong Ahafo,2013,48813.287060883835,1138941.7623735117,3948866.8573765513,147.24566254172504,7620.916668494382,3553877.3709894656,0.3055755809024891
Brong Ahafo,2014,45856.23415236205,1138941.7623735117,3948866.8573765513,147.24566254172504,11896.07901281964,5811881.763890752,1.6790769165201522
Brong Ahafo,2015,63881.483785721306,1138941.7623735117,3948866.8573765513,147.24566254172504,7064.227453730567,3505426.5121413455,0.1527321507218337
Brong Ahafo,2016,35902.16887004345,1138941.7623735117,3948866.8573765513,147.24566254172504,16647.654244821402,8353087.374656486,463.42478632671913
Brong Ahafo,2017,35925.331881895916,1138941.7623735117,3948866.8573765513,147.24566254172504,19399.190673373505,10097447.57610904,1.068539499528574
Brong Ahafo,2018,43797.58572447866,1138941.7623735117,3948866.8573765513,147.24566254172504,22374.060798795606,12009503.937572485,2.3635652866041728
Brong Ahafo,2019,32180.59976576217,1138941.7623735117,3948866.8573765513,147.24566254172504,9497.112561324664,5296413.999428676,1.9065334548482855
Brong Ahafo,2020,47494.79207266313,1138941.7623735117,3948866.8573765513,147.24566254172504,16660.856205179713,9449826.60439161,110.93468672947596
Brong Ahafo,2021,19507.535823329392,1138941.7623735117,3948866.8573765513,147.24566254172504,10864.664417522881,6349029.617907263,0.9147248739716928
Central,2003,451.0405371777896,711882.7155464379,965176.2016492976,2437.6300434678146,3761.73497141034,1515237.3132861236,3.139947150700332
Central,2004,4113.128188462588,711882.7155464379,965176.2016492975,2437.630043467814,2838.917128906967,1162293.34438183,6.969939747558307
Central,2005,714.1334821066719,711882.7155464379,965176.2016492975,2437.630043467814,7846.020390204707,3416472.166895131,9.265177163312517
Central,2006,497.3537207338499,711882.7155464379,965176.2016492975,2437.630043467814,2871.108372789297,1184747.0819265817,3.21722380354322
Central,2007,814.3740647131455,711882.7155464379,965176.2016492975,2437.630043467814,7806.379717489926,3403449.447770177,2.1450280502367702
Central,2008,412.81977491552624,711882.7155464379,965176.2016492975,2437.630043467814,5316.577459352024,2349724.4602132197,16.53826385463439
Central,2009,808.3685522075871,711882.7155464379,965176.2016492975,2437.630043467814,5129.709467338668,2295577.832609629,7.812451618821575
Central,2010,160.33657676499143,711882.7155464379,965176.2016492975,2437.630043467814,2120.3581255487848,983795.4975840128,1.684608094883867
Central,2011,919.2902772284392,711882.7155464379,965176.2016492975,2437.630043467814,5442.166219078915,2403720.5751682203,7.2763498050103514
Central,2012,874.0452424230117,711882.7155464379,965176.2016492976,2437.6300434678146,3464.5939806510146,1632763.9792308274,5.5126267590464755
Central,2013,266.9897850876003,711882.7155464379,965176.2016492975,2437.630043467814,9839.310761859912,4799950.592340351,6.12656281736224
Central,2014,232.70711066007024,711882.7155464379,965176.2016492974,2437.630043467814,12761.251534148045,6462032.924242234,7.350362916665199
Central,2015,489.8303587514391,711882.7155464379,965176.2016492975,2437.630043467814,6532.281435219234,3421402.368239172,0.5359076097056878
Central,2016,219.6966538578729,711882.7155464379,965176.2016492976,2437.6300434678146,13456.740786770903,6993260.3191967765,4.058316362405022
Central,2017,122.48606041004173,711882.7155464379,965176.2016492974,2437.630043467814,8418.511221009661,4466904.558377809,2.2968118136487736
Central,2018,350.50863260628705,711882.7155464379,965176.2016492975,2437.630043467814,23680.603952748716,13084084.535106247,0.7659829836227865
Central,2019,40.828516658234236,711882.7155464379,965176.2016492975,2437.630043467814,12504.012798675476,6784317.984437707,0.3063302341731705
Central,2020,289.5063406960848,711882.7155464379,965176.2016492975,2437.630043467814,16924.043566527645,9512387.851118451,0.5360983590920376
Central,2021,102.06483653723876,711882.7155464379,965176.2016492975,2437.630043467814,11116.869173116156,6260763.039549543,5.819438914604249
Eastern,2001,10374.408959539194,911948.3116029454,1850124.1549417267,1027.013008985586,4951.657943997568,1758095.6849531704,15.37575614210308
Eastern,2002,4156.9744166669725,911948.3116029452,1850124.1549417265,1027.013008985586,5699.771018560908,2178356.6260260376,6.577340012722479
Eastern,2003,10433.9310591688,911948.3116029453,1850124.1549417262,1027.013008985586,3064.1409117500884,1178092.0417268216,5.5040512927222345
Eastern,2004,8683.414344633755,911948.3116029453,1850124.1549417262,1027.013008985586,876.785259313577,350286.6439740397,2.2186754070425927
Eastern,2005,12496.458722124444,911948.3116029453,1850124.1549417265,1027.013008985586,3942.9384473597615,1603571.4462189588,6.426733041992972
Eastern,2006,7716.630336524489,911948.3116029453,1850124.1549417265,1027.013008985586,1763.4458900631682,727368.1163732208,1.3764797522477517
Eastern,2007,12235.423984969531,911948.3116029452,1850124.1549417265,1027.013008985586,6712.295847933996,2958261.594559682,8.566780560343188
Eastern,2008,12794.582200551697,911948.3116029453,1850124.1549417262,1027.013008985586,7794.671238090222,3488699.595951404,14.766873499455292
Eastern,2009,9589.32660416349,911948.3116029453,1850124.1549417265,1027.013008985586,2576.8690624756427,1158543.0135071848,3.977968366358368
Eastern,2010,8618.452981909986,911948.3116029453,1850124.1549417265,1027.013008985586,1575.4074786145845,749036.7313561254,1.223649744314514
Eastern,2011,11620.558792299256,911948.3116029454,1850124.1549417267,1027.013008985586,4507.772305012958,2195491.5055637863,2.294970109220681
Eastern,2012,9438.137754105062,911948.3116029453,1850124.1549417265,1027.013008985586,4220.59518068052,2092702.3189183949,11.318392782466988
Eastern,2013,8730.015107780893,911948.3116029453,1850124.1549417265,1027.013008985586,14124.430037230539,7279452.033161779,3.442226830431901
Eastern,2014,6873.381980338627,911948.3116029452,1850124.1549417265,1027.013008985586,14792.75332224496,7971048.4987384435,1.5300244747154732
Eastern,2015,15917.912069774004,911948.3116029454,1850124.1549417267,1027.013008985586,5729.948860659207,3171966.3378790766,0.1529445705056554
Eastern,2016,11939.206189786339,911948.3116029453,1850124.1549417265,1027.013008985586,18062.593328978062,10108646.683591038,19.87704820833088
Eastern,2017,5232.4234353396905,911948.3116029453,1850124.1549417262,1027.013008985586,24336.176631478145,14390994.703069253,13.313709029092191
Eastern,2018,12820.724745996777,911948.3116029454,1850124.1549417267,1027.013008985586,21502.291611820827,13195414.739957368,0.8414324577105317
Eastern,2019,4290.95305146719,911948.3116029453,1850124.1549417265,1027.013008985586,12095.733077307335,7638860.379274221,1.377143243255206
Eastern,2020,9360.674969498823,911948.3116029453,1850124.1549417265,1027.013008985586,15208.520773557557,9834447.521998258,3.5960872089986453
Eastern,2021,7334.093861574284,911948.3116029453,1850124.1549417265,1027.013008985586,16541.91083334871,11004308.045141809,3.7486491400675055
