Variable:,rx1day
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,41.36,35.68,40.75,35.89,35.59,34.67,45.08,47.00,50.25,37.05,37.19
2016,41.42,36.67,39.82,36.67,35.31,38.11,43.96,47.06,49.72,38.06,34.14
2017,39.67,32.76,37.63,30.80,30.84,30.69,44.55,45.26,43.39,36.23,33.01
2018,40.61,35.09,38.99,31.80,35.10,31.26,44.69,46.69,46.72,36.31,31.70
2019,39.13,35.02,36.05,32.55,33.37,32.72,41.88,44.34,44.94,35.80,35.52
2020,41.42,37.17,41.13,32.64,35.09,31.76,46.78,44.34,47.50,37.49,34.93
2021,41.37,36.18,42.39,31.84,32.97,31.39,46.98,44.98,44.68,35.99,33.83
2022,42.60,37.98,42.75,37.42,35.37,38.25,45.88,44.94,44.41,38.95,37.13
2023,41.79,41.12,44.65,30.80,32.92,31.75,46.47,43.69,43.55,38.13,35.96
2024,41.75,39.42,40.55,34.17,35.92,33.46,43.86,49.50,48.09,38.24,34.99
2025,41.76,37.98,41.21,35.57,34.14,33.53,45.17,45.03,50.45,37.99,36.96
2026,44.83,37.78,41.93,35.32,36.75,35.18,49.65,53.21,51.67,40.61,36.03
2027,42.60,40.65,46.56,31.30,35.26,31.87,43.97,44.02,44.29,41.03,34.55
2028,43.18,35.85,39.30,32.74,35.42,33.02,46.08,53.11,53.19,39.82,33.50
2029,43.65,35.23,41.51,32.30,35.77,35.51,48.53,48.87,54.20,40.42,34.48
2030,40.44,35.54,38.13,35.21,33.27,34.24,42.96,51.36,44.28,36.34,35.89
2031,40.33,36.49,40.73,27.29,33.33,28.91,43.30,44.43,43.34,37.96,35.08
2032,41.42,37.52,42.58,32.32,34.80,30.86,44.64,45.30,46.08,35.71,35.10
2033,42.59,37.99,40.46,35.24,35.88,34.71,47.14,56.91,50.37,37.53,35.51
2034,43.23,38.22,40.79,35.28,36.42,34.90,48.20,49.83,49.25,39.13,36.05
2035,39.69,34.36,39.49,32.13,33.37,31.26,43.04,45.66,47.18,36.30,33.20
2036,40.73,35.15,37.24,37.74,35.26,34.68,43.28,46.44,47.37,37.84,37.99
2037,41.98,37.31,41.17,32.04,33.50,32.57,46.77,46.92,44.59,36.24,34.45
2038,43.56,36.87,39.86,32.20,35.52,33.57,48.37,51.28,50.90,40.35,33.59
2039,41.20,39.93,43.40,33.50,35.16,33.61,43.16,43.37,48.81,37.68,35.22
2040,43.26,34.56,38.59,32.24,33.04,32.57,50.30,57.70,55.09,35.47,33.61
2041,41.39,38.64,41.56,36.91,35.50,35.14,46.65,42.93,42.91,37.20,36.29
2042,43.85,38.51,44.43,36.27,36.95,37.97,49.90,45.95,46.83,38.81,38.61
2043,47.32,41.36,44.32,34.43,35.89,34.38,52.94,60.09,65.36,39.31,36.86
2044,44.46,40.34,42.34,42.31,39.57,40.53,48.99,50.44,52.65,41.10,42.43
2045,41.16,33.31,36.29,33.97,32.67,32.66,45.36,48.11,49.16,36.50,35.43
2046,42.93,38.79,43.58,39.21,39.43,42.89,44.55,47.18,50.17,41.78,39.89
2047,43.61,38.61,44.71,34.03,37.06,34.99,46.18,47.43,47.06,41.62,38.00
2048,42.03,35.50,38.89,37.38,35.58,35.87,45.34,46.39,45.56,40.87,37.68
2049,42.49,36.99,40.41,37.70,36.39,37.12,45.65,49.88,47.64,39.25,37.84
2050,42.25,37.07,39.23,31.01,35.49,31.98,47.27,46.79,52.72,37.98,32.49
2051,38.92,33.85,38.42,30.26,31.36,31.77,43.14,42.96,41.81,35.57,32.63
2052,45.21,38.60,43.04,34.41,36.82,33.91,51.13,49.75,51.88,40.76,35.20
2053,44.08,39.98,44.86,34.69,38.88,33.61,48.55,50.04,48.57,40.11,38.56
2054,43.94,36.67,44.27,33.15,34.84,34.61,48.28,47.45,46.20,40.38,35.33
2055,45.28,42.47,47.92,38.34,40.04,36.73,49.56,46.97,50.49,44.98,37.91
2056,41.29,38.26,42.36,31.73,34.96,31.23,44.66,47.69,50.20,36.14,34.48
2057,42.85,38.46,43.45,33.01,35.34,33.71,46.13,44.73,43.79,41.90,34.97
2058,42.79,40.33,45.24,40.39,37.70,39.87,43.79,45.69,53.38,40.62,39.51
2059,41.17,39.11,41.81,35.01,35.08,33.43,44.12,46.18,44.55,37.68,39.24
2060,44.51,38.57,42.60,33.10,37.41,35.15,49.51,55.93,60.46,37.24,35.11
2061,44.13,44.10,43.91,37.04,40.54,36.32,45.97,47.01,45.14,41.61,40.17
2062,40.35,37.13,41.89,33.74,32.93,33.53,44.29,40.73,42.07,39.01,35.90
2063,43.81,33.30,38.97,35.52,35.80,38.26,49.48,50.52,53.87,40.63,35.03
2064,42.13,36.17,38.96,33.72,34.29,33.87,45.72,48.37,48.24,37.67,37.88
2065,43.70,39.20,43.73,38.50,36.31,39.10,48.02,48.71,50.08,38.42,39.01
2066,42.30,38.20,41.56,33.00,36.68,32.85,45.09,42.66,43.74,40.59,36.12
2067,41.65,36.66,45.22,31.80,33.38,33.13,46.07,44.04,45.63,38.13,35.45
2068,44.85,44.17,46.38,40.75,37.11,36.65,47.38,48.52,51.98,41.40,42.66
2069,40.85,34.80,38.98,35.28,33.73,35.04,44.48,44.33,46.94,39.08,36.30
2070,46.55,40.83,44.82,36.09,37.06,33.15,51.62,53.89,53.08,41.39,40.12
2071,43.23,39.51,41.63,38.47,41.53,38.45,45.20,45.76,47.01,42.04,42.85
2072,42.10,37.75,40.68,37.15,35.95,34.12,44.98,48.22,52.97,38.84,39.23
2073,45.22,39.34,45.69,35.75,35.35,35.59,50.28,51.35,54.55,40.40,37.61
2074,43.01,35.91,42.32,33.71,35.99,36.83,47.76,47.03,47.42,39.81,37.91
2075,43.69,39.25,45.28,35.94,36.25,34.68,49.38,48.25,48.76,37.83,37.63
2076,40.39,34.85,40.71,37.07,33.06,36.83,43.79,43.58,46.36,36.81,39.87
2077,47.84,43.36,50.60,34.19,42.12,34.25,52.36,47.61,49.33,46.88,37.76
2078,41.17,37.11,41.58,33.77,33.06,35.43,43.93,47.42,50.76,37.54,36.52
2079,39.10,34.28,37.59,35.01,33.11,34.55,43.05,45.46,45.49,35.67,34.56
2080,45.42,40.14,43.63,34.83,34.88,33.63,51.49,54.71,51.63,38.52,38.06
2081,40.84,35.27,40.60,32.34,34.49,32.76,43.99,45.62,45.47,37.83,34.57
2082,39.44,36.90,38.85,35.29,35.19,35.26,42.72,40.17,45.31,35.25,38.94
2083,46.04,37.24,43.17,35.01,33.57,33.48,52.41,58.06,58.24,39.56,35.52
2084,41.33,36.22,41.40,32.76,33.60,33.21,45.68,45.94,46.65,37.14,35.68
2085,42.79,37.36,42.97,35.66,35.42,34.28,46.99,46.47,49.32,39.63,36.86
2086,43.88,38.05,41.90,34.96,38.28,37.16,47.37,48.96,50.81,42.09,39.05
2087,40.88,33.82,41.07,32.57,31.54,28.40,46.41,47.31,51.40,36.82,37.20
2088,41.36,38.13,42.58,34.22,36.16,34.03,45.15,42.45,44.82,37.34,36.90
2089,45.00,38.67,43.63,38.47,38.44,40.69,50.55,50.12,49.97,40.44,39.18
2090,42.12,37.41,43.24,33.12,34.26,34.69,47.39,44.17,45.34,40.12,34.96
2091,46.98,43.45,48.73,34.71,40.98,36.49,50.49,49.92,48.02,42.67,37.38
2092,42.35,39.19,41.36,39.59,36.71,38.09,45.12,47.32,41.35,39.16,38.86
2093,41.60,37.08,41.71,33.04,32.87,34.22,45.98,46.30,49.11,36.63,34.93
2094,43.77,39.84,45.04,32.13,35.07,32.60,47.24,48.32,48.24,39.40,34.03
2095,40.55,36.07,40.06,35.33,34.25,33.44,44.72,44.26,43.16,38.07,35.93
2096,40.54,36.39,40.31,36.92,34.55,37.06,41.98,43.39,44.99,37.79,35.41
2097,36.04,30.88,32.89,34.06,30.97,34.14,38.06,43.04,43.49,32.71,31.92
2098,40.78,38.22,42.67,31.88,34.67,33.27,43.89,43.58,47.59,40.53,35.39
2099,42.16,35.97,41.77,35.69,35.25,35.43,45.74,47.10,50.03,37.76,36.01
2100,40.39,35.80,39.54,36.91,33.94,32.99,42.47,45.76,42.23,37.10,37.47
